,text,title,language
7278,"Wat is er nu uit de bus gekomen? Goed nieuws voor kinderen en hun ouders: de zomerkampen mogen wel degelijk doorgaan, vanaf 1 juli en onder strikte voorwaarden. Zo moeten de groepen beperkt blijven tot ""contactbubbels"" van maximaal 50 personen (deelnemers en begeleiders). Jongeren en begeleiders ouder dan 12 moeten de afstandsregels zoveel mogelijk respecteren.\n\nDadelijk meer.","Zomerkampen mogen doorgaan in ""bubbels"" van maximaal 50 personen, speeltuinen gaan weer open",nl
7279,"In de Vallei van de Zwarte Beek vind je ook nog planten- en diersoorten die je op andere plaatsen nog nauwelijks ziet. ""We hebben heel veel natuurwaarden liggen in beekvalleien. Heel wat daarvan zijn zeldzaam geworden en afhankelijk van die goede watercondities. We moeten echt proberen om die op een goede manier te herstellen. Het gaat dan bijvoorbeeld om weidevogels zoals de wulp, de grutto en de watersnip. Zij zijn afhankelijk van gronden die voldoende nat zijn, want ze moeten met hun lange snavel in de grond kunnen gaan. Maar ook de graslanden zijn heel afhankelijk van de waterstanden. Als dat uitdroogt, krijg je daar echt een verarming van de biodiversiteit.""","De Zwarte Beek in Limburg is een ""spons"" tegen de droogte",nl
7280,"Omdat het al een paar jaar zo droog is, overweegt Kobe om andere gewassen te zetten die minder water nodig hebben. ""Ik probeer te kijken welke teelten beter tegen de droogte kunnen. Ik heb sinds een paar jaar ook luzerne staan voor mijn dieren. Die wortels zitten dieper in de grond dan gras en daardoor blijft die plant beter groeien. En er zijn projecten met quinoa en soja. Maar dat heeft allemaal tijd nodig.""","Landbouwers smeken om regen: ""Het ziet er niet zo goed uit voor ons""",nl
7281,"De houding van Peeters kan niet op begrip rekenen bij haar Vlaamse coalitiepartners. ""Wij vinden de houding van de minister onbegrijpelijk"", zegt Vlaams Parlementslid Jos Lantmeeters (N-VA). ""Wij gaan haar vragen hoe deze beslissing tot stand is gekomen en wij vragen haar toch door te gaan met de uitrol van die meetapparatuur. Het gebruik van een goed werkende roetfilter is zeer belangrijk voor de gezondheid van iedereen.""\n\n","Coalitiepartners N-VA en CD&V van Vlaams minister voor Mobiliteit Peeters: ""Zet door met controle roetfilters""",nl
7282,"Kanté, die uit een familie van geestelijke leiders stamde en een van de 38 kinderen van dezelfde vader was, leefde een tijd als illegaal in Parijs. ""Yéké yéke"" nam hij al op in 1984, het brak in 1987 door en kende nog een aantal succesvolle heruitgaven.","Afrikaanse zanger Mory Kanté overleden, wereldberoemd door ""Yéké yeké""",nl
7283,"“Als je 26.000 inwoners hebt en amper 50 van hen maken gebruik van het publieke wifi-netwerk, dan moet je je durven afvragen of het sop de kolen waard is” zegt schepen Brecht Cassiman. “We zien ook dat de tarieven van databundels steeds goedkoper worden, er is een goede 4G-verbinding in Zottegem en er komt ook nog eens 5G aan. Dan moeten we ons afvragen of een gratis wifinetwerk wel nodig is.”\n\nDe stad besliste dus om het contract met de wifileverancier vroegtijdig te beëindigen. “In het contract was die mogelijkheid voorzien, de leverancier komt ook alle wifi-punten weghalen. Met de afschaffing van het wifinetwerk sparen we 17.500 euro per jaar uit. Dat is geen blinde besparing, maar dat geld gaan we herinvesteren in burgerparticipatie en de digitale uitrol van buurtnetwerken.","Gratis wifi in Zottegem verdwijnt: “Er zijn te weinig gebruikers, het geld kunnen we beter gebruiken”",nl
7284,"Directeur Karel Ackaert is bijzonder enthousiast over de heropening. ""Mensen houden spontaan afstand van elkaar en wassen ook regelmatig hun handen. Ook in de souvenirwinkel merk je dat er heel veel geduld is. Er hangt natuurlijk een andere sfeer, maar de mensen zijn wel positief.""\n\nIn De Zonnegloed mogen er maximaal 1.300 bezoekers binnen. ""Maar gisteren lieten we er maar 800 binnen om te bekijken of alles vlot verliep. Vandaag mogen er al 1.000 mensen binnen en volgende week nog meer.""\n\n","Dierenpark Zonnegloed in Oost-Vleteren heropend: ""Mensen houden zich goed aan de richtlijnen""",nl
7285,"Chloroquine en hydroxychloroquine zijn geneesmiddelen die al lang bestaan en worden gebruikt om malaria te behandelen. Omdat er een vermoeden bestond dat ze ook effectief zouden zijn bij Covid-19, zijn duizenden patiënten met één van die medicijnen behandeld.\n\nDe Amerikaanse president Trump haalde de geneesmiddelen vaak aan in zijn persconferenties over het coronavirus en prees het gebruik ervan zelfs aan. Hij verraste de wereld toen hij zei dat hij zelf zulke pillen neemt, uit voorzorg. Verschillende wetenschappers waarschuwen nochtans dat de geneesmiddelen gevaarlijk kunnen zijn en dat niet bewezen is dat ze werken tegen het coronavirus.","""Coronapatiënten die behandeld worden met antimalariamiddel chloroquine maken meer kans om te sterven""",nl
7286,"De poort is geen beschermd momument maar wel heel waardevol. “Het is een stuk erfgoed van een grote historische waarde. Maar daar blijft nu niet veel van over. Er liggen overal brokstukken en veel stenen zijn vernield. We gaan kijken hoe dat nog hersteld kan worden. Daar gaan deskundigen nu over oordelen. De dienst Onroerend Erfgoed is intussen op de hoogte. Zij gaan op korte termijn de stukken nummeren, zodat ze in de juiste volgorde weer kunnen opgebouwd worden. Dat is een omzichtig werkje. Bovendien moet de verzekering ook alles bekijken.”",19e eeuwse poort per ongeluk neergehaald in Lovenjoel,nl
7287,"Het drinkwater in Limburg wordt opgepompt uit de grond, daarom wordt dat peil erg goed in de gaten gehouden. Op korte termijn zou dat nog niet tot problemen leiden, maar de watermaatschappij in Limburg neemt wel al enkele maatregelen. Kathleen De Schepper van de Watergroep: “Wij willen er vooral voor zorgen dat wij onze maximale productiecapaciteit optimaal kunnen gebruiken als er een grote afname is van water, zoals nu het geval is. In Bovelingen in Heers gaan we binnenkort een nieuwe put boren waardoor we de andere putten zonder probleem een onderhoudsbeurt kunnen geven.”",Voorlopig nog voldoende drinkwater in Limburg,nl
7288,"Door de coronamaatregelen volgen alle studenten van Universiteit Antwerpen momenteel les via de computer. Zo ziet het studentenleven er plots een pak anders uit. En ook de start van het volgend academiejaar in september zal niet zoals de voorbije jaren verlopen.\n\n“Hele grote aula’s, en dan bedoel ik die waar normaal 500 studenten kunnen zitten, zullen maar door 100 studenten gebruikt kunnen worden”, zegt Herman Van Goethem, rector van Universiteit Antwerpen. “We blijven onze toevlucht dus zoeken tot het online lesgeven en dat zeker tot het einde van dit jaar.” Er zullen wel lessen in aula’s gegeven worden, maar dus niet allemaal.",Coronavirus stuurt ook volgend academiejaar van Universiteit Antwerpen in de war: In een aula voor 500 studenten mogen er maar 100 binnen”,nl
7289,"Zondag 7 juni is het Fiertelzondag in Ronse. Dan vindt traditioneel de Fiertelommegang plaats, een traditie van duizend jaar. Elk jaar komen er duizenden bedevaarders en ook voor elke Ronsenaar is het een hoogdag. Traditioneel is het ook een dag waarop Ronsenaars die de stad hebben verlaten, terugkeren om samen met familie en vrienden de Grote Ommegang te doen.\n\nDit jaar is de Fiertelommegang geannuleerd wegens de coronamaatregelen. De kerkelijke plechtigheden zoals de mis op zaterdagavond om 17 uur, de Fiertelmis op zondag om 8 uur en het Te Deum om 18.30 uur zullen wel plaatsvinden, weliswaar in strikt beperkte kring en enkel met het door de regering maximaal aantal toegelaten personen.",Fiertelommegang in Ronse slaat jaartje over door corona,nl
7290,"Tweedeverblijvers spenderen hun geld vooral in voedingswinkels, maar ook in schoenen- en kledingswinkels. Christophe Vandenbussche heeft 5 kledingwinkels in Nieuwpoort. Ook hij leeft hoofdzakelijk van de tweedeverblijvers. ""Mensen die voor 1 dagje komen, komen meer voor de beleving op het strand. Zij eten wel iets in Nieuwpoort, maar gaan vooral zwemmen, zonnen en met de kinderen spelen. Tweedeverblijvers zitten hier dagen, weken of maanden en trekken gemakkelijker tijd uit om eens te gaan shoppen.""\n\nUnizo West-Vlaanderen bevestigt inderdaad dat dagjestoeristen meer geld uitgeven aan restaurant- en cafébezoekjes. Zij geven samen per jaar zo'n 1,3 miljard euro uit aan zee.","Handelaars aan zee blij met terugkomst tweedeverblijvers: ""Zij spenderen 1 miljard euro per jaar aan de kust""",nl
7291,"De vlucht was onderweg naar Karachi vanuit Lahore, een stad in de provincie Punjab. De oorzaak van de ramp is nog niet duidelijk. Voor het vliegtuig neerstortte, stuurde de piloot wel een noodsignaal uit. Op beelden van de crash lijkt het alsof een van de motoren in brand staat. Mogelijk blokkeerde ook het landingsgestel van het vliegtuig.\n\nVolgens een andere versie verloor het vliegtuig ook een motor. Het kan ook dat er meerdere oorzaken zijn. Momenteel wordt er ook gezocht naar de zwarte dozen van het vliegtuig, die gesprekken uit de cockpit en vliegdata bevatten.","Vliegtuig neergestort in woonwijk in Pakistan, 2 overleefden de crash, minstens 41 doden op de grond",nl
7292,"Toch blijft Reginald wat ongerust voor de komende dagen, wanneer er weer zonnig en droog weer wordt voorspeld. “Ik hoop dat het niet tijdelijk is dat we weer water hebben, want dat is niet fijn in ons beroep. Een tweede lockdown door watertekort zou jammer zijn. We willen onze klanten ook een fijne beleving geven, door de haren te wassen. Ook om hygiënische redenen nu we met corona extra moeten ontsmetten.""",Watertekort in Overijse maakt kapper ongerust voor komende dagen,nl
7293,"De islamitische vastenmaand ramadan loopt op zijn einde en dit weekend vieren moslims het Suikerfeest. Voor vele moslims over de hele wereld was dit een hele speciale editie van de ramadan. De meeste landen waren in lockdown vanwege het coronavirus waardoor er’ s avonds bij zonsondergang niet gegeten kon worden met de grote familie. Naar de moskee gaan om samen te bidden, was ook in de meeste landen verboden. VRT NWS liet verschillende moslims aan het woord, verspreid over de wereld die vertellen hoe ze deze speciale editie van de ramadan hebben beleefd.",Ramadan in de wereld: Hoe beleven moslims wereldwijd de ramadan in deze coronatijden?,nl
7294,"Ook wordt er gedacht aan de jongeren die zich niet genoeg gehoord voelen. “Er komt er een nieuwe ontmoetingsruimte voor de jongeren in Malem en er komt een extra straathoekwerker die zich op de jongeren zal richten”, zegt schepen Elke Decruynaere (Groen).\n\n“In de Brugse Poort hebben de jongeren zelf jeugdwerkingen opgericht. We hebben budget uitgetrokken om ervoor te zorgen dat die organisaties meer kunnen groeien. Op die manier willen we dat er meer plekken komen waar kinderen en jongeren hun vrije tijd kunnen doorbrengen.”",Politie ontdekt drugslab in Brugse Poort net op moment dat stad Gent hele reeks maatregelen aankondigt,nl
7295,"Groeningenmuseum in Brugge\n\nWat is er te zien? Naast de vaste collectie is er de expo “Van Eyck in Bruges”. Je maakt er kennis met twee werken van de Vlaamse meester Jan Van Eyck: “Madonna met kanunnik Joris van der Paele” en het “Portret van Margareta van Eyck”. Hoe reserveren? Online. Je betaalt je ticket aan de balie van het museum op vertoon van je reservatiebewijs (op papier of op je smartphone). Cash geld wordt niet aanvaard. Ook als je recht hebt op een korting of gratis binnen mag, moet je een ticket reserveren. Klik hier voor meer info. Mondmasker? Aanbevolen. Bezoekers- of audiogids? De audiogids kan je downloaden op je smartphone of tablet via de QR-code aan de inkomhal. Zorg zelf voor een hoofdtelefoon of oortjes. Toiletten? Beschikbaar.\n\nGruuthusemuseum in Brugge\n\nWat is er te zien? In het stadspaleis aan de Dijver ontdek je de geschiedenis van Brugge van de Bourgondische bloeiperiode tot het Brugge in de 19e eeuw. Hoe reserveren? Online. Je betaalt je ticket aan de balie van het museum op vertoon van je reservatiebewijs (op papier of op je smartphone). Cash geld wordt niet aanvaard. Ook als je recht hebt op een korting of gratis binnen mag, moet je een ticket reserveren. Klik hier voor meer info. Mondmasker? Aanbevolen. Bezoekers- of audiogids? De audiogids kan je downloaden op je smartphone of tablet via de QR-code aan de inkomhal. Zorg zelf voor een hoofdtelefoon of oortjes. Toiletten? Beschikbaar.\n\nPermeke Museum in Jabbeke\n\nWat is er te zien? Een collectie schilderijen, beeldhouwwerken en tekeningen van de Vlaamse expressionist Constant Permeke. Ze zijn opgesteld in het huis waar hij woonde en werkte. Hoe reserveren? Online, ook als je recht hebt op een korting of gratis binnen mag. Je koopt je ticket via de website van Mu.ZEE en toont het aan de balie. Als het niet lukt om online een ticket te kopen, kan dat ook aan de balie. Cash geld wordt niet aanvaard. Klik hier voor meer info. Mondmasker? Niet verplicht. Bezoekers- of audiogids? Niet beschikbaar in het museum. Je kan wel de bezoekersgidsen downloaden en uitprinten via de website of raadplegen met je smartphone via de QR-codes in de zaal. Vestiaire & lockers? Niet beschikbaar. Neem dus geen rugzak of grote tas mee. Toiletten? Beschikbaar.\n\nAbdijmuseum Ten Duinen in Koksijde\n\nWat is er te zien? Je duikt in de geschiedenis van de middeleeuwse Duinenabdij. Hoe reserveren? Online. Ook Koksijdenaars die gratis het museum mogen bezoeken, moeten online reserveren. Breng je identiteitskaart mee. Bij het reserveren krijg je een mail met de praktische info. Klik hier voor meer info. Mondmasker? Niet verplicht. Bezoekers- of audiogids? Je krijgt een link naar het museumplan bij je reservatie. Toiletten? Ga naar het toilet voor aanvang van je bezoek.\n\nNAVIGO-Nationaal Visserijmuseum in Oostduinkerke\n\nWat is er te zien? Je maakt kennis met het Vlaamse visserserfgoed en leert alles over de IJslandvaarders en de garnaalvissers te paard. Hoe reserveren? Online. Ook Koksijdenaars die gratis het museum mogen bezoeken, moeten online reserveren. Breng je identiteitskaart mee. Bij het reserveren krijg je een mail met de praktische info. Klik hier voor meer info. Mondmasker? Niet verplicht. Bezoekers- of audiogids? Je krijgt een link naar het museumplan bij je reservatie. Toiletten? Ga naar het toilet voor aanvang van je bezoek.\n\nMU.Zee in Oostende\n\nWat is er te zien? Het museum beschikt over een collectie Belgische kunst van 1850 tot nu. Er zijn museumvleugels gewijd aan James Ensor, Léon Spilliaert en Raoul Servais. Er is ook een expo over Panamarenko en tijdgenoten. Hoe reserveren? Online, ook als je recht hebt op een korting of gratis binnen mag. Je koopt je ticket via de website van Mu.ZEE en toont het aan de balie. Als het niet lukt om online een ticket te kopen, kan dat ook aan de balie. Cash geld wordt niet aanvaard. Klik hier voor meer info. Mondmasker? Niet verplicht. Bezoekers- of audiogids? Niet beschikbaar in het museum. Je kan wel de bezoekersgidsen downloaden en uitprinten via de website of raadplegen met je smartphone via de QR-codes in de zaal. Vestiaire & lockers? Enkel op aanvraag. Neem dus geen rugzak of grote tas mee. Toiletten? Beschikbaar.\n\nKoersmuseum in Roeselare\n\nWat is er te zien? Je kan je verdiepen in de geschiedenis van de fiets en de wielersport. Zo zijn er meer dan 300 koersfietsen te zien, tal van historische wielertruitjes en –schoenen en veel foto’s die de wielersport vanaf de begindagen tot nu in beeld brengen. Hoe reserveren? Online of telefonisch op het nummer 051 26 24 00. Je betaalt je ticket aan de balie van het museum op vertoon van je reservatiebewijs (op papier of op je smartphone). Bij voorkeur contactloos betalen. Ook als je recht hebt op een korting of gratis binnen mag, moet je een ticket reserveren. Klik hier voor meer info. Mondmasker? Niet verplicht. Bezoekers- of audiogids? Niet beschikbaar in het museum. Je kan wel alles raadplegen via de ErfgoedApp die je vooraf op je smartphone kan downloaden. Zorg zelf voor een hoofdtelefoon of oortjes. Het gezinspakket Roadbook blijft beschikbaar voor 6-12-jarigen en kan veilig uitgevoerd worden. Vestiaire & lockers? Niet beschikbaar. Neem dus geen rugzak of grote tas mee. Toiletten? Beschikbaar.",Musea mogen weer open: waar kan je naartoe en waar moet je op letten?,nl
7296,"Ook in De Panne is het voorlopig nog rustig, ""maar wat niet is, kan nog komen"", zegt burgemeester Bram Degrieck. ""We zien wel. Ik ben mijn dakgoten aan het schilderen en vanop mijn dak heb ik een zeer goed zicht op het centrum en op het strand. Ik kan mij inbeelden dat er wel wat dagjestoeristen waren ook gisteren, we moeten ons daar geen illusies in maken, maar 't was dus zeker geen overrompeling. Ik heb ook wat mensen op het strand gezien. Daar mag je voorlopig niet zitten. Maar we gaan daar niet als gestapo's op controleren. Zolang er geen samenscholingen zijn en de mensen geen echte dommigheden doen, hanteren we een zekere tolerantie.""",Fransen steken te voet de grens over naar strand van De Panne,nl
7297,"De burgemeester van Overijse gaat zelfs een stapje verder en heeft een sproeiverbod uitgesproken. ""De inwoners mogen dus geen water meer gebruiken voor het wassen van auto's, het vullen van zwembaden en het besproeien van gazons"", zegt Lenseclaes. ""Dat verbod zal tot en met zondag zal gelden. Tegen maandag zouden de problemen van de baan moeten zijn.""\n\nBekijk hieronder de aanbeveling van waterexpert Marjolein Vanoppen in ""Het Journaal"":","Zwembadjes vol, kranen leeg in Overijse: ""Waterverbruik verdubbeld, sproeiverbod tot zondagavond""",nl
7298,"Rusland is niet opgezet met de Amerikaanse terugtrekking. ""Dit is volkomen ongegrond"", zegt Vladimir Yermakov, directeur van de afdeling Wapenbeheer van het Russische ministerie van Buitenlandse Zaken. ""Het is niet de eerste keer dat de VS de zaken proberen voor te stellen alsof Rusland iets schendt, als voorwendsel om uit wapenbeheersingsakkoorden te stappen.""\n\nVolgens professor Criekemans gaat Rusland nog verder in de kritiek op de Amerikaanse terugtrekking. ""Rusland zegt dat er weer een nieuwe bouwsteen van het vredevolle tijdperk na de Koude Oorlog onderuit wordt gehaald"", vertelt Criekemans. Vanmiddag komen in elk geval de NAVO-ambassadeurs samen voor een spoedvergadering over het verdrag.","VS wil uit verdrag voor ""spionagevluchten"" stappen om buitenlandse legers te controleren: ""Rusland leeft het niet na""",nl
7299,"Zo kwam Prince, de kat van Julie, enkele dagen geleden zwaar toegetakeld thuis: haar staart bleek nog enkel met de huid aan de rest van het lijfje te hangen. De staart moest geamputeerd worden. Ook Koffie, de tweede kat van Julie, is al een poosje niet meer thuisgekomen en Julie vreest voor het ergste, want er verdwijnen in de buurt wel meer katten.\n\nJulie vindt het dan ook haar taak haar stadsgenoten te waarschuwen voor de dierenbeul, want wat er met Prince gebeurd is, kan alleen een mens gedaan hebben, zegt ze.",Dierenbeul in Lommel heeft het gemunt op katten,nl
7300,"Het project is goed onthaald door de buurt: ""Mensen hebben soms een panische angst voor bijen, maar de buurtbewoners reageerden verrassend goed op ons project. Soms komen ze zelfs zaad tonen dat ze willen planten in hun tuin voor de bijen. Op die manier is het een heel interessant en sociaal project geworden.""\n\nProject Beesphere is een project van Reaktor21vzw in samenwerking met vzw ZwarteBij.org en KWEEK (nvdr kleinschalige plantenkwekerij die zich specialiseert in bijenvriendelijke bloemen -en plantensoorten). Dankzij het Gentse Stadsontwikkelingsbedrijf SOGent kan het project nog tot 2021 op het terrein blijven.","Biodiversiteit in de stad: Gentse bijen wonen in ""cabriokorf"" op vroeger stadion AA Gent",nl
7301,"Het ministerieel besluit, gepubliceerd in het Staatsblad, bepaalt wat precies een tweede verblijf is: een huis, een appartement of een ""immobiele residentie met een vaste standplaats"", zoals een stacaravan of een bungalow.\n\nNog een belangrijke: wie mag ernaartoe? Dat zijn de eigenaar(s) of de langetermijnhuurder(s) (minstens 1 jaar) en de mensen die onder hetzelfde dak wonen, lezen we in de aangepaste frequently asked questions van het Nationaal Crisiscentrum. Zij mogen in hun tweede verblijf ook mensen uit hun ""sociale bubbel"" ontvangen, met een maximum van 4 mensen. Het moet wél gaan om dezelfde mensen die je thuis ontvangt. Die met andere woorden sinds 10 mei de mensen zijn met wie je je bubbel toen vergroot hebt. De regels blijven uiteraard hetzelfde: 1,5 meter afstand houden en énkel een bezoekje, dus geen overnachting. Mensen mogen dus niet ""zomaar"" alleen naar het appartement van de ouders of grootouders aan zee.\n\nMaar minister-president Jambon ziet het iets ruimer: ""Een familie mag met vier andere mensen uit hun uitgebreide koker tegelijk naar het tweede verblijf"", zegt Jambon. Maar wat als andere mensen die niet tot die koker behoren, toch graag naar dat tweede verblijf willen? Kinderen, ouders, schoonouders... die geen mede-eigenaar zijn, niet op hetzelfde adres wonen en die niet in de uitgebreide koker zitten? ""Het belangrijkste is dat die kokers gescheiden blijven. Als de koker van de eigenaar niet in het tweede verblijf is, kan daar gerust een andere koker gaan. Zolang de koker in het tweede verblijf blijft zoals hij thuis is: het gezin met maximaal vier andere bezoekers. De eigenaars beslissen.""\n\n",Opnieuw naar je tweede verblijf: wie mag er eigenlijk naartoe? En hoe is dat te controleren?,nl
7302,"Donderdag betrapte de politie een man die achteruit door de Jos Brabantstunnel reed. Die behoort tot de pas geopende tunnels onder het Operaplein in Antwerpen. De man reed naar eigen zeggen achteruit, omdat hij de oude gewelven wilde bewonderen.\n\nAchteruitrijden in een tunnel is verboden en wordt zelfs gezien als een overtreding in de vierde graad. Het rijbewijs van de man wordt wellicht ingetrokken.",Man rijdt achteruit door Antwerpse tunnel “om oude gewelven te bewonderen”,nl
7303,"De boodschap van vergiffenis komt van een van de zoons van de journalist, Salah Khashoggi. Hij woont in Saoedi-Arabië en kreeg eerder ook al financiële compensatie van het koningshuis.\n\nOp Twitter schrijft hij dat de geste past in de heilige maand van de Ramadan: ""Op deze gezegende avond van de gezegende maand van de Ramadan herinneren we ons de uitspraak van God: als iemand vergeeft en verzoent, wordt hij beloond door Allah. Daarom kondigen wij, de zoons van martelaar Jamal Khashoggi, aan dat we de moordenaars van onze vader vergeven.""","Zonen vermoorde journalist Khashoggi vergeven moordenaars vader, die zo executie ontlopen",nl
